t	z	A	theta	lambda	theta_s	lambda_s
248000.000000	0.177402	1.572814	-0.019693	-2.157423	-0.019740	-2.334860
249000.000000	0.208475	1.572965	-0.019800	-2.199098	-0.019820	-2.407614
250000.000000	0.239547	1.573130	-0.019915	-2.240772	-0.019900	-2.480367
251000.000000	0.270618	1.573308	-0.020037	-2.282447	-0.019979	-2.553120
252000.000000	0.301690	1.573499	-0.020167	-2.324122	-0.020059	-2.625873
253000.000000	0.332761	1.573695	-0.020305	-2.365797	-0.020138	-2.698627
254000.000000	0.363832	1.573901	-0.020452	-2.407472	-0.020218	-2.771380
255000.000000	0.394902	1.574111	-0.020608	-2.449147	-0.020297	-2.844133
256000.000000	0.425973	1.574331	-0.020773	-2.490823	-0.020377	-2.916887
257000.000000	0.457043	1.574554	-0.020948	-2.532498	-0.020456	-2.989640
258000.000000	0.488112	1.574787	-0.021133	-2.574173	-0.020536	-3.062393
259000.000000	0.519181	1.575026	-0.021327	-2.615849	-0.020615	-3.135146
260000.000000	0.550249	1.575273	-0.021533	-2.657525	-0.020695	3.075286
261000.000000	0.581318	1.575528	-0.021749	-2.699201	-0.020774	3.002532
262000.000000	0.612385	1.575793	-0.021976	-2.740877	-0.020854	2.929779
263000.000000	0.643452	1.576067	-0.022215	-2.782553	-0.020934	2.857026
264000.000000	0.674519	1.576350	-0.022465	-2.824229	-0.021013	2.784273
265000.000000	0.705585	1.576644	-0.022729	-2.865906	-0.021093	2.711519
266000.000000	0.736651	1.576948	-0.023005	-2.907582	-0.021172	2.638766
267000.000000	0.767715	1.577265	-0.023295	-2.949259	-0.021252	2.566013
268000.000000	0.798779	1.577594	-0.023598	-2.990936	-0.021331	2.493260
269000.000000	0.829844	1.577938	-0.023916	-3.032613	-0.021411	2.420506
270000.000000	0.860905	1.578294	-0.024250	-3.074291	-0.021490	2.347753
271000.000000	0.891967	1.578668	-0.024599	-3.115968	-0.021570	2.275000
272000.000000	0.923027	1.579056	-0.024965	3.125539	-0.021649	2.202247
273000.000000	0.954088	1.579464	-0.025348	3.083861	-0.021729	2.129493
274000.000000	0.985147	1.579890	-0.025749	3.042183	-0.021808	2.056740
275000.000000	1.016204	1.580336	-0.026169	3.000504	-0.021888	1.983987
276000.000000	1.047260	1.580804	-0.026609	2.958825	-0.021967	1.911234
277000.000000	1.078316	1.581295	-0.027070	2.917146	-0.022047	1.838480
278000.000000	1.109369	1.581811	-0.027553	2.875467	-0.022126	1.765727
279000.000000	1.140421	1.582354	-0.028058	2.833787	-0.022206	1.692974
280000.000000	1.171473	1.582925	-0.028588	2.792107	-0.022285	1.620220
281000.000000	1.202522	1.583528	-0.029144	2.750427	-0.022365	1.547467
282000.000000	1.233568	1.584164	-0.029727	2.708746	-0.022445	1.474714
283000.000000	1.264613	1.584835	-0.030338	2.667065	-0.022524	1.401961
284000.000000	1.295657	1.585545	-0.030979	2.625384	-0.022604	1.329207
285000.000000	1.326697	1.586297	-0.031652	2.583702	-0.022683	1.256454
286000.000000	1.357734	1.587094	-0.032359	2.542020	-0.022763	1.183701
287000.000000	1.388770	1.587938	-0.033102	2.500338	-0.022842	1.110948
288000.000000	1.419802	1.588837	-0.033883	2.458655	-0.022922	1.038194
289000.000000	1.450831	1.589792	-0.034704	2.416972	-0.023001	0.965441
290000.000000	1.481856	1.590810	-0.035568	2.375288	-0.023081	0.892688
291000.000000	1.512877	1.591894	-0.036479	2.333605	-0.023160	0.819935
292000.000000	1.585562	1.594593	-0.036479	2.333605	-0.023240	0.747181
293000.000000	1.658240	1.597421	-0.036479	2.333605	-0.023319	0.674428
294000.000000	1.730913	1.600410	-0.036479	2.333605	-0.023399	0.601675
295000.000000	1.803579	1.603597	-0.036479	2.333605	-0.023478	0.528922
296000.000000	1.876237	1.607027	-0.036479	2.333605	-0.023558	0.456169
297000.000000	1.948886	1.610751	-0.036479	2.333605	-0.023637	0.383415
298000.000000	2.021522	1.614836	-0.036479	2.333605	-0.023717	0.310662
299000.000000	2.094145	1.619363	-0.036479	2.333605	-0.023796	0.237909
300000.000000	2.166750	1.624439	-0.036479	2.333605	-0.023876	0.165156
301000.000000	2.239335	1.630202	-0.036479	2.333605	-0.023955	0.092402
302000.000000	2.311891	1.636839	-0.036479	2.333605	-0.024035	0.019649
303000.000000	2.384412	1.644605	-0.036479	2.333605	-0.024114	-0.053104
304000.000000	2.456887	1.653867	-0.036479	2.333605	-0.024194	-0.125857
305000.000000	2.529301	1.665156	-0.036479	2.333605	-0.024273	-0.198611
306000.000000	2.601625	1.679293	-0.036479	2.333605	-0.024353	-0.271364
307000.000000	2.673820	1.697595	-0.036479	2.333605	-0.024432	-0.344117
308000.000000	2.745815	1.722338	-0.036479	2.333605	-0.024512	-0.416870
